major_options,count
"['Sport Package', 'Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Blind Spot Monitoring', 'Heated Seats', 'Android Auto', 'CarPlay', 'Multi Zone Climate Control', 'Bluetooth', 'Backup Camera', 'Remote Start']",22700
"['Alloy Wheels', 'Bluetooth', 'Backup Camera']",8598
['Steel Wheels'],4381
['Alloy Wheels'],4300
"['Steel Wheels', 'Bluetooth', 'Backup Camera']",3908
"['Bluetooth', 'Backup Camera']",3879
['Backup Camera'],2886
"['Alloy Wheels', 'Backup Camera']",2491
"['Alloy Wheels', 'Bluetooth']",2416
"['Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera']",2025
"['Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera']",1876
['Bluetooth'],1848
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Android Auto', 'CarPlay']",1784
"['Adaptive Cruise Control', 'Steel Wheels', 'Bluetooth', 'Backup Camera']",1419
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start']",1349
"['Steel Wheels', 'Bluetooth']",1348
"['Alloy Wheels', 'Backup Camera', 'Android Auto', 'CarPlay']",1338
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']",1306
['Sunroof/Moonroof'],1265
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats']",1222
"['Sunroof/Moonroof', 'Alloy Wheels']",1111
"['Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']",1022
"['Sunroof/Moonroof', 'Adaptive Cruise Control', 'Alloy Wheels', 'Backup Camera', 'Heated Seats', 'Android Auto', 'CarPlay']",945
"['Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth', 'Backup Camera']",925
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']",919
"['Adaptive Cruise Control', 'Alloy Wheels', 'Backup Camera']",870
"['Backup Camera', 'Android Auto', 'CarPlay']",848
"['Steel Wheels', 'Backup Camera']",823
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats']",758
"['Navigation System', 'Alloy Wheels', 'Bluetooth']",690
"['Leather Seats', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Heated Seats']",690
"['Leather Seats', 'Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']",689
"['Sunroof/Moonroof', 'Navigation System']",689
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring']",665
"['Alloy Wheels', 'Backup Camera', 'Heated Seats', 'Android Auto', 'CarPlay']",661
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Quick Order Package']",607
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Heated Seats']",594
"['Alloy Wheels', 'Third Row Seating', 'Bluetooth', 'Backup Camera']",576
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Heated Seats']",571
"['Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth']",556
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Parking Sensors', 'Heated Seats', 'Android Auto', 'Quick Order Package', 'CarPlay']",555
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring']",547
"['Steel Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start']",541
"['Android Auto', 'CarPlay']",539
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats']",533
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Heated Seats']",526
"['Leather Seats', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']",525
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats', 'Android Auto', 'CarPlay']",517
['Quick Order Package'],511
"['Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera']",509
"['Adaptive Cruise Control', 'Backup Camera']",507
"['Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start']",496
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start']",485
"['Sunroof/Moonroof', 'Alloy Wheels', 'Backup Camera', 'Heated Seats']",479
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera']",474
"['Leather Seats', 'Alloy Wheels']",473
"['Sunroof/Moonroof', 'Alloy Wheels', 'Backup Camera']",470
"['Sunroof/Moonroof', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats']",470
"['Leather Seats', 'Sunroof/Moonroof', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats']",466
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Heated Seats']",460
"['Leather Seats', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Heated Seats']",453
"['Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start']",442
"['Bluetooth', 'Backup Camera', 'Android Auto', 'CarPlay']",440
"['Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Android Auto', 'CarPlay']",432
['Heated Seats'],427
"['Sunroof/Moonroof', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera']",412
"['Leather Seats', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats']",406
"['Sunroof/Moonroof', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start']",400
"['Alloy Wheels', 'Bluetooth', 'Heated Seats']",400
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Third Row Seating', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats']",398
"['Leather Seats', 'Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Heated Seats']",393
"['Adaptive Cruise Control', 'Bluetooth', 'Backup Camera']",381
"['Leather Seats', 'Alloy Wheels', 'Bluetooth', 'Backup Camera']",376
"['Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Heated Seats']",373
"['Sunroof/Moonroof', 'Alloy Wheels', 'Backup Camera', 'Heated Seats', 'Android Auto', 'CarPlay']",369
"['Bluetooth', 'Backup Camera', 'Remote Start']",368
"['Leather Seats', 'Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth', 'Heated Seats']",364
"['SE Package', 'Alloy Wheels', 'Backup Camera', 'Android Auto', 'CarPlay']",353
"['Alloy Wheels', 'Heated Seats']",351
"['Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']",348
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Backup Camera']",348
"['Sunroof/Moonroof', 'Alloy Wheels', 'Heated Seats']",347
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Third Row Seating', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Heated Seats']",344
"['Alloy Wheels', 'Steel Wheels']",342
